1.276474327628361749e+01,2.390733496332518637e+00,2.329719169719169702e+00,1.217090464547677087e+01
4.448761755485892877e+01,5.502414710485133043e+01,2.210001567398118638e+01,4.169296238244514541e+01
2.741142604074401912e-01,2.288999114260407364e+00,5.036803895528995767e+00,7.354871567759079243e-01
1.837752753977968112e+01,7.451823745410036004e+00,1.445810281517747953e+01,1.764212974296205871e+01
4.879099821746880394e+01,2.226863514719000747e+01,2.116430865298839947e+01,4.697069518716577363e+01
1.079034080717488742e+01,8.859417040358744444e+00,3.096693548387096762e+00,2.258376681614350012e+00
4.256691542288557173e+00,2.599734491315136609e+01,2.726677419354838605e+01,3.809079601990049468e+01
2.722992458521870063e+01,2.199280754716981079e+01,3.611975113122171877e+01,3.088751131221719248e+01
2.133676518883414985e+01,1.678894001643385181e+01,2.796350574712644033e+01,4.318258620689655203e+01
7.982245388933439045e+00,2.301242983159582867e+00,4.171749598715891238e+00,3.605621491579791726e+00
